,height,mid_height,concrete_area,reinf_steel_area,conf_steel_area,strain,concrete_stress,reinf_steel_stress,conf_steel_stress,concrete_force,reinf_steel_force,conf_steel_force,total_force,total_moment
223,0.112,0.11175,0.00015000000000000012,0.0,0.0,0.0009056280055744911,19849978.7262047,0.0,0,2977.4968089307076,0.0,0,2977.4968089307076,113.88925294159954
224,0.1125,0.11225,0.00015000000000000012,0.0,0.0,0.0008940200771877997,19669059.573215593,0.0,0,2950.3589359823413,0.0,0,2950.3589359823413,111.37604983333337
225,0.113,0.11275,0.00015000000000000012,0.0,0.0,0.0008824121488011084,19486231.54687289,0.0,0,2922.934732030936,0.0,0,2922.934732030936,108.87931876815234
226,0.1135,0.11325,0.00015000000000000012,0.0,0.0,0.0008708042204144171,19301494.647176594,0.0,0,2895.2241970764912,0.0,0,2895.2241970764912,106.39948924256103
227,0.114,0.11375,0.00015000000000000012,0.0,0.0,0.0008591962920277258,19114848.8741267,0.0,0,2867.227331119007,0.0,0,2867.227331119007,103.93699075306398
228,0.1145,0.11425,0.00015000000000000012,0.0,0.0,0.0008475883636410344,18926294.227723196,0.0,0,2838.9441341584816,0.0,0,2838.9441341584816,101.49225279616569
229,0.115,0.11475,0.00015000000000000012,0.0,0.0,0.0008359804352543431,18735830.7079661,0.0,0,2810.3746061949173,0.0,0,2810.3746061949173,99.0657048683708
230,0.1155,0.11525,0.00015000000000000012,0.0,0.0,0.0008243725068676518,18543458.314855397,0.0,0,2781.518747228312,0.0,0,2781.518747228312,96.6577764661838
231,0.116,0.11575,0.00015000000000000012,0.0,0.0,0.0008127645784809604,18349177.0483911,0.0,0,2752.376557258667,0.0,0,2752.376557258667,94.26889708610932
232,0.1165,0.11625,0.00015000000000000012,0.0,0.0,0.0008011566500942691,18152986.908573203,0.0,0,2722.9480362859827,0.0,0,2722.9480362859827,91.89949622465188
233,0.117,0.11675,0.00015000000000000012,0.0,0.0,0.0007895487217075778,17954887.895401705,0.0,0,2693.233184310258,0.0,0,2693.233184310258,89.55000337831605
234,0.11750000000000001,0.11725000000000001,0.00015000000000000012,0.0,0.0,0.0007779407933208865,17754880.00887661,0.0,0,2663.232001331494,0.0,0,2663.232001331494,87.2208480436064
235,0.11800000000000001,0.11775000000000001,0.00015000000000000012,0.0,0.0,0.0007663328649341951,17552963.248997916,0.0,0,2632.9444873496896,0.0,0,2632.9444873496896,84.91245971702746
236,0.11850000000000001,0.11825000000000001,0.00015000000000000012,0.0,0.0,0.0007547249365475038,17349137.615765624,0.0,0,2602.3706423648455,0.0,0,2602.3706423648455,82.62526789508381
237,0.11900000000000001,0.11875000000000001,0.00015000000000000012,0.0,0.0,0.0007431170081608125,17143403.109179724,0.0,0,2571.5104663769607,0.0,0,2571.5104663769607,80.35970207427998
238,0.11950000000000001,0.11925000000000001,0.00015000000000000012,0.0,0.0,0.0007315090797741212,16935759.729240227,0.0,0,2540.363959386036,0.0,0,2540.363959386036,78.11619175112058
239,0.12000000000000001,0.11975000000000001,0.00015000000000000012,0.0,0.0,0.0007199011513874298,16726207.475947136,0.0,0,2508.9311213920723,0.0,0,2508.9311213920723,75.89516642211015
240,0.1205,0.12025,0.00015000000000000012,0.0,0.0,0.0007082932230007388,16514746.349300444,0.0,0,2477.2119523950687,0.0,0,2477.2119523950687,73.6970555837533
241,0.121,0.12075,0.00015000000000000012,0.0,0.0,0.0006966852946140475,16301376.349300154,0.0,0,2445.206452395025,0.0,0,2445.206452395025,71.52228873255447
242,0.1215,0.12125,0.00015000000000000012,0.0,0.0,0.0006850773662273561,16086097.475946262,0.0,0,2412.914621391941,0.0,0,2412.914621391941,69.3712953650183
243,0.122,0.12175,0.00015000000000000012,0.0,0.0,0.0006734694378406649,15868909.729238775,0.0,0,2380.336459385818,0.0,0,2380.336459385818,67.24450497764936
244,0.1225,0.12225,0.00015000000000000012,0.0,0.0,0.0006618615094539735,15649813.109177677,0.0,0,2347.4719663766537,0.0,0,2347.4719663766537,65.14234706695213
245,0.123,0.12275,0.00015000000000000012,0.0,0.0,0.0006502535810672822,15428807.61576299,0.0,0,2314.32114236445,0.0,0,2314.32114236445,63.06525112943126
246,0.1235,0.12325,0.00015000000000000012,0.0,0.0,0.0006386456526805909,15205893.248994699,0.0,0,2280.8839873492066,0.0,0,2280.8839873492066,61.01364666159127
247,0.124,0.12375,0.00015000000000000012,0.0,0.0,0.0006270377242938996,14981070.008872809,0.0,0,2247.160501330923,0.0,0,2247.160501330923,58.98796315993672
248,0.1245,0.12425,0.00015000000000000012,0.0,0.0,0.0006154297959072082,14754337.895397319,0.0,0,2213.1506843095995,0.0,0,2213.1506843095995,56.988630120972175
249,0.125,0.12475,0.00015000000000000012,0.0,0.0,0.0006038218675205168,14525696.908568226,0.0,0,2178.8545362852356,0.0,0,2178.8545362852356,55.01607704120219
250,0.1255,0.12525,0.00015000000000000012,0.0,0.0,0.0005922139391338256,14295147.048385538,0.0,0,2144.2720572578323,0.0,0,2144.2720572578323,53.070733417131336
251,0.126,0.12575,0.00015000000000000012,0.0,0.0,0.0005806060107471342,14062688.314849252,0.0,0,2109.4032472273893,0.0,0,2109.4032472273893,51.15302874526418
